session,driver_number,lap_number,lap_time,tire_compound,tire_age_at_start,track_temperature,air_temperature,wind_speed,humidity,pressure,distance_traveled,avg_speed (m/s),,Track,ÊLength (km)
Practice 1,4,1,,MEDIUM,0,45.7,32,2,60,1007.7,5.063,,,SIN,5.063
Practice 1,81,1,,MEDIUM,0,45.7,32,2,60,1007.7,5.063,,,,
Practice 1,4,2,97.895,MEDIUM,0,45.7,32,2,60,1007.7,10.126,10.34373564,,,
Practice 1,81,2,100.014,MEDIUM,0,45.7,32,2,60,1007.7,10.126,10.12458256,,,
Practice 1,4,3,138.582,MEDIUM,0,45.7,32,2,60,1007.7,15.189,10.96029787,,,
Practice 1,81,3,141.92,MEDIUM,0,45.7,32,2,60,1007.7,15.189,10.70250846,,,
Practice 1,4,4,95.782,MEDIUM,0,45.7,32,2,60,1007.7,20.252,21.14384749,,,
Practice 1,81,4,97.716,MEDIUM,0,45.7,32,2,60,1007.7,20.252,20.72536739,,,
Practice 1,4,5,124.286,MEDIUM,0,45.7,32,2,60,1007.7,25.315,20.36834398,,,
Practice 1,81,5,146.593,MEDIUM,0,45.7,32,2,60,1007.7,25.315,17.26890097,,,
Practice 1,4,6,172.682,MEDIUM,0,45.7,32,2,60,1007.7,30.378,17.59187408,,,
Practice 1,81,6,96.89,MEDIUM,0,45.7,32,2,60,1007.7,30.378,31.35308081,,,
Practice 1,81,7,156.256,MEDIUM,0,45.7,32,2,60,1007.7,35.441,22.68136904,,,
Practice 1,4,7,95.692,MEDIUM,0,45.7,32,2,60,1007.7,35.441,37.03653388,,,
Practice 1,4,8,142.269,MEDIUM,0,45.7,32,2,60,1007.7,40.504,28.47001104,,,
Practice 1,81,8,96.356,MEDIUM,0,45.7,32,2,60,1007.7,40.504,42.03578397,,,
Practice 1,4,9,94.776,MEDIUM,0,45.7,32,2,60,1007.7,45.567,48.0786275,,,
Practice 1,81,9,145.194,MEDIUM,0,45.7,32,2,60,1007.7,45.567,31.38352824,,,
Practice 1,4,10,122.074,MEDIUM,0,45.7,32,2,60,1007.7,50.63,41.47484313,,,
Practice 1,81,10,640.731,MEDIUM,0,45.7,32,2,60,1007.7,50.63,7.901912035,,,
Practice 1,81,11,95.695,MEDIUM,0,45.7,32,2,60,1007.7,55.693,58.19844297,,,
Practice 1,4,11,767.65,MEDIUM,0,45.7,32,2,60,1007.7,55.693,7.254999023,,,
Practice 1,81,12,148.749,MEDIUM,0,45.7,32,2,60,1007.7,60.756,40.84464433,,,
Practice 1,4,12,132.333,MEDIUM,0,45.7,32,2,60,1007.7,60.756,45.91145066,,,
Practice 1,81,13,166.237,MEDIUM,0,45.7,32,2,60,1007.7,65.819,39.59347197,,,
Practice 1,4,13,93.522,MEDIUM,0,45.7,32,2,60,1007.7,65.819,70.37809286,,,
Practice 1,81,14,95.474,MEDIUM,0,45.7,32,2,60,1007.7,70.882,74.24220207,,,
Practice 1,4,14,136.866,MEDIUM,0,45.7,32,2,60,1007.7,70.882,51.7893414,,,
Practice 1,81,15,129.307,MEDIUM,0,45.7,32,2,60,1007.7,75.945,58.73231921,,,
Practice 1,4,15,106.99,MEDIUM,0,45.7,32,2,60,1007.7,75.945,70.98326946,,,
Practice 1,4,16,574.053,MEDIUM,0,45.7,32,2,60,1007.7,81.008,14.111589,,,
Practice 1,4,17,97.839,MEDIUM,0,45.7,32,2,60,1007.7,86.071,87.97207657,,,
Practice 1,4,18,97.986,MEDIUM,0,45.7,32,2,60,1007.7,91.134,93.00716429,,,
Practice 1,81,16,824.728,MEDIUM,0,45.7,32,2,60,1007.7,81.008,9.822389927,,,
Practice 1,4,19,98.104,MEDIUM,0,45.7,32,2,60,1007.7,96.197,98.0561445,,,
Practice 1,81,17,100.269,MEDIUM,0,45.7,32,2,60,1007.7,86.071,85.84009016,,,
Practice 1,4,20,100.733,MEDIUM,0,45.7,32,2,60,1007.7,101.26,100.5231652,,,
Practice 1,81,18,99.27,MEDIUM,0,45.7,32,2,60,1007.7,91.134,91.80417044,,,
Practice 1,4,21,98.086,MEDIUM,0,45.7,32,2,60,1007.7,106.323,108.3977326,,,
Practice 1,81,19,99.069,MEDIUM,0,45.7,32,2,60,1007.7,96.197,97.10101041,,,
Practice 1,4,22,99.06,MEDIUM,0,45.7,32,2,60,1007.7,111.386,112.4429639,,,
Practice 1,81,20,99.54,MEDIUM,0,45.7,32,2,60,1007.7,101.26,101.7279486,,,
Practice 1,4,23,125.422,MEDIUM,0,45.7,32,2,60,1007.7,116.449,92.84575274,,,
Practice 1,81,21,138.598,MEDIUM,0,45.7,32,2,60,1007.7,106.323,76.71322819,,,
Practice 1,4,24,156.733,MEDIUM,0,45.7,32,2,60,1007.7,121.512,77.52802537,,,
Practice 1,81,22,159.84,MEDIUM,0,45.7,32,2,60,1007.7,111.386,69.68593594,,,
Practice 2,4,1,,HARD,0,37.2,29.8,1.3,72,1010,5.063,,,,
Practice 2,81,1,,MEDIUM,0,37.2,29.8,1.3,72,1010,5.063,,,,
Practice 2,4,2,95.592,HARD,0,37.2,29.8,1.3,72,1010,10.126,10.59293665,,,
Practice 2,81,2,95.771,MEDIUM,0,37.2,29.8,1.3,72,1010,10.126,10.57313801,,,
Practice 2,4,3,152.656,HARD,0,37.2,29.8,1.3,72,1010,15.189,9.949821822,,,
Practice 2,81,3,170.081,MEDIUM,0,37.2,29.8,1.3,72,1010,15.189,8.930450785,,,
Practice 2,4,4,94.54,HARD,0,37.2,29.8,1.3,72,1010,20.252,21.42162048,,,
Practice 2,81,4,95.204,MEDIUM,0,37.2,29.8,1.3,72,1010,20.252,21.27221545,,,
Practice 2,4,5,141.432,HARD,0,37.2,29.8,1.3,72,1010,25.315,17.89906103,,,
Practice 2,81,5,163.079,MEDIUM,0,37.2,29.8,1.3,72,1010,25.315,15.52315136,,,
Practice 2,81,6,94.952,MEDIUM,0,37.2,29.8,1.3,72,1010,30.378,31.99300699,,,
Practice 2,81,7,124.245,MEDIUM,0,37.2,29.8,1.3,72,1010,35.441,28.52509155,,,
Practice 2,4,6,910.25,HARD,0,37.2,29.8,1.3,72,1010,30.378,3.337324911,,,
Practice 2,4,7,92.89,HARD,0,37.2,29.8,1.3,72,1010,35.441,38.15373022,,,
Practice 2,81,8,802.647,MEDIUM,0,37.2,29.8,1.3,72,1010,40.504,5.046303045,,,
