session,driver_number,lap_number,lap_time,tire_compound,tire_age_at_start,track_temperature,air_temperature,wind_speed,humidity,pressure
Practice 1,18,1,,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,40,1,,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,77,1,,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,14,1,,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,24,1,,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,31,1,,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,4,1,,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,63,1,,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,44,1,,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,55,1,,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,11,1,,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,16,1,,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,81,1,,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,22,1,,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,1,1,,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,10,1,,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,20,1,,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,27,1,,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,18,2,119.436,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,77,2,99.308,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,40,2,116.618,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,14,2,100.337,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,24,2,102.182,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,63,2,100.348,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,31,2,100.645,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,4,2,97.895,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,55,2,98.999,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,11,2,99.624,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,44,2,99.012,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,16,2,98.224,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,22,2,100.995,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,2,1,,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,81,2,100.014,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,1,2,98.169,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,10,2,97.991,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,77,3,136.213,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,20,2,98.953,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,27,2,99.109,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,14,3,100.963,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,40,3,100.925,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,24,3,100.017,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,63,3,98.97,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,23,1,,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,31,3,155.369,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,4,3,138.582,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,55,3,137.544,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,11,3,143.545,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,44,3,172.594,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,16,3,142.692,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,22,3,138.76,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,81,3,141.92,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,1,3,159.585,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,10,3,145.883,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,20,3,156.196,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,27,3,140.505,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,2,2,101.972,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,14,4,151.423,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,40,4,153.382,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,24,4,99.667,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,63,4,130.853,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,77,4,98.113,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,23,2,99.115,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,4,4,95.782,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,55,4,96.128,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,31,4,97.394,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,11,4,96.838,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,16,4,96.368,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,2,3,99.16,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,22,4,97.859,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,24,5,138.689,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,81,4,97.716,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,77,5,136.053,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,44,4,96.386,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,10,4,97.762,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,23,3,134.324,MEDIUM,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,27,4,97.186,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,1,4,96.421,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,20,4,97.649,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,14,5,96.944,HARD,0,45.7,32.0,2.0,60.0,1007.7
Practice 1,40,5,99.236,HARD,0,45.7,32.0,2.0,60.0,1007.7
